OBJECTID,Jurisdiction,APN,Vacancy,Units,Zoning,ZoningSimplified,Min_Density,Max_Density,Links,Shape__Area,Shape__Length
1,Poway,3200200300,Vacant,1,OS-1DU,Open Space,,,,328705.459960938,3222.23606901649
2,City of San Diego,5461000200,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,5386.068359375,316.776904021351
3,City of San Diego,5461000300,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,5867.7119140625,322.545227516975
4,City of San Diego,5461000400,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,4927.8916015625,301.438884678602
5,City of San Diego,4366112900,,976,RM-4-10,High Density Residential,,109,https://www.sandiego.gov/development-services/zoning,433993.206054688,2617.20750739144
6,San Diego County,1043501000,Vacant,27,C36,Commercial,,40,,50003.1630859375,900.057311100074
7,City of San Diego,5471100600,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,5174.3603515625,306.82059627374
8,City of San Diego,5461000600,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,7010.8603515625,357.485829346286
9,City of San Diego,5461000500,Vacant,12,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,40281.8330078125,1092.42668197683
10,City of San Diego,5491540300,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,5368.4599609375,332.052870722159
11,City of San Diego,5494321200,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,10888.1015625,467.899817111744
12,City of San Diego,5494321100,Vacant,3,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,16207.2939453125,609.278163738748
13,City of San Diego,5494420100,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,7336.5625,390.275871209097
14,City of San Diego,5494421500,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,7383.8896484375,370.10376886411
15,City of San Diego,5494421600,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,11741.189453125,452.146544085983
16,City of San Diego,6773902900,,112,EMX-1,,,89,https://www.sandiego.gov/development-services/zoning,121549.545898438,1463.834408964
17,City of San Diego,4400420600,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,8090.9130859375,394.416030335974
18,City of San Diego,4383320100,,62,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,41872.8837890625,1004.77067564974
19,City of San Diego,4383320300,,36,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,24284.3603515625,676.265922256775
20,City of San Diego,4383310700,,47,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,31598.6435546875,956.726785431782
21,City of San Diego,4383310600,,19,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,12688.89453125,468.244998753715
22,City of San Diego,4241400400,,86,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,144051.333007813,2056.50557302729
23,City of San Diego,4415500100,,22,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,14920.693359375,486.193498497147
24,Encinitas,2581720200,,2,D-R25,Medium Density Residential,25,20,https://encinitasca.gov/Portals/0/City%20Documents/Documents/Development%20Services/Planning/Advanced%20Planning/Housing%20Plan%20Update%202018/Environmental%20Assessment%20-%20June%202018/Technical%20Appendices%20-%20Complete%20-%20June%202018.pdf,5022.865234375,300.723033303648
25,Imperial Beach,6250242100,Vacant,1,R-1-6000,Low Density Residential,,7,https://www.imperialbeachca.gov/planning,4703.794921875,294.204093462712
26,Imperial Beach,6253611200,,1,R-2000,Medium Density Residential,,21,https://www.imperialbeachca.gov/planning,4521.6669921875,285.384052751922
27,Imperial Beach,6254021000,,1,R-2000,Medium Density Residential,,21,https://www.imperialbeachca.gov/planning,4381.3310546875,283.584094986874
28,Imperial Beach,6252021100,,1,R-2000,Medium Density Residential,,21,https://www.imperialbeachca.gov/planning,5292.0869140625,306.741341008058
29,National City,5561011500,,53,2,,,115,https://www.nationalcityca.gov/government/community-development/planning/zoning,25439.779296875,750.818081933067
30,National City,5561040200,,14,2,,,115,https://www.nationalcityca.gov/government/community-development/planning/zoning,7042.3046875,361.372525266759
31,National City,5561031900,,1,RS-2,Low Density Residential,,9,https://www.nationalcityca.gov/government/community-development/planning/zoning,6708.5478515625,360.857504596198
32,El Cajon,5112805200,Vacant,3,RS-9,Low Density Residential,,4.8,https://www.elcajon.gov/your-government/departments/community-development/zoning-information,44741.7578125,961.69138784817
33,National City,5550301200,,8,1A,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,2265.6279296875,244.314745479204
34,City of San Diego,5344110600,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5221.298828125,305.445666784687
35,City of San Diego,5344110800,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,4852.07421875,298.166672272017
36,City of San Diego,5344031300,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5479.5478515625,318.007990075845
37,City of San Diego,5344031400,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5332.509765625,315.660522448949
38,City of San Diego,5344120100,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6407.419921875,330.560779915246
39,City of San Diego,5344120400,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,7073.650390625,386.684447020482
40,City of San Diego,5344120500,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,7546.369140625,394.248798611411
41,City of San Diego,5352810100,,4,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,9310.83203125,404.968083287286
42,City of San Diego,5352720400,,2,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,2638.7412109375,220.529367673466
43,City of San Diego,5387420900,,2,BLPD-SUBD-A,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5757.724609375,346.371423280679
44,City of San Diego,5387522500,,13,BLPD-SUBD-B,Industrial,,29,https://www.sandiego.gov/development-services/zoning,21399.935546875,585.360402707093
45,City of San Diego,5388110100,,9,BLPD-SUBD-B,Industrial,,29,https://www.sandiego.gov/development-services/zoning,14764.4521484375,490.907408350517
46,City of San Diego,5387520100,,4,BLPD-SUBD-A,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6513.5751953125,366.601926574066
47,City of San Diego,5387420600,,4,BLPD-SUBD-A,Commercial,,29,https://www.sandiego.gov/development-services/zoning,5669.328125,361.352103371839
48,City of San Diego,5387511600,,1,BLPD-SUBD-A,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,2466.6474609375,198.672179760463
49,City of San Diego,5386102200,,4,BLPD-SUBD-B,Mixed Use,,29,https://www.sandiego.gov/development-services/zoning,7009.6708984375,378.657644189885
50,City of San Diego,5344112100,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6844.7138671875,378.790989591673
51,City of San Diego,5344112200,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,7190.953125,383.642395993396
52,City of San Diego,5352820800,,4,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,4732.01171875,286.000084161758
53,City of San Diego,5353210200,,3,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,4754.1162109375,291.090324746388
54,City of San Diego,5344121900,Vacant,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5127.5712890625,287.280804536909
55,City of San Diego,5344121600,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,7325.5888671875,382.519584040622
56,City of San Diego,5344302600,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,4547.185546875,283.614847660736
57,City of San Diego,5344121500,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6937.4423828125,377.498580423757
58,City of San Diego,5341722300,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,10534.314453125,430.701283483195
59,City of San Diego,5343112600,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,3761.5888671875,250.408418392552
60,City of San Diego,5387601900,,6,BLPD-SUBD-B,Mixed Use,,29,https://www.sandiego.gov/development-services/zoning,13240.814453125,468.317688090897
61,City of San Diego,5388111100,,1,BLPD-SUBD-B,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,3354.3193359375,236.488749646491
62,City of San Diego,5388111200,,2,BLPD-SUBD-B,Industrial,,29,https://www.sandiego.gov/development-services/zoning,3530.0673828125,243.363330644577
63,City of San Diego,5388112700,,8,BLPD-SUBD-B,Industrial,,29,https://www.sandiego.gov/development-services/zoning,14000.017578125,480.000348499516
64,City of San Diego,5452742500,Vacant,4,CN-1-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,5459.0263671875,301.650006255598
65,City of San Diego,5356931300,,2,CN-1-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,2365.029296875,195.057436805555
66,City of San Diego,5353221200,,2,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,5574.8369140625,309.100556177382
67,City of San Diego,5353221300,,3,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,3976.2431640625,261.485225977806
68,City of San Diego,5395211200,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,7016.85546875,380.415768362477
69,City of San Diego,5341722200,,4,CN-1-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,7020.5966796875,380.528057669063
70,City of San Diego,5395220300,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5025.5517578125,300.512346634309
71,City of San Diego,4530922600,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5756.8349609375,330.192700930753
72,City of San Diego,4530921600,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,3760.16796875,250.375418818756
73,City of San Diego,4530820800,,4,RM-3-8,High Density Residential,,54,https://www.sandiego.gov/development-services/zoning,5550.837890625,325.713184501047
74,City of San Diego,5500123200,,11,CN-1-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,17418.23046875,528.564960177116
75,City of San Diego,5454921400,,3,RX-1-1,Low Density Residential,,11,https://www.sandiego.gov/development-services/zoning,10414.8046875,427.738770577819
76,City of San Diego,5414511600,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10883.7744140625,430.718336700723
77,City of San Diego,5414410700,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10269.8359375,417.128089712896
78,City of San Diego,5414412300,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10169.2705078125,414.601381396724
79,City of San Diego,4712521200,,3,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4694.0224609375,325.238717585267
80,City of San Diego,4712530300,,3,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4661.76171875,286.444297414469
81,City of San Diego,4712530400,,3,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4658.16015625,286.29805422218
82,City of San Diego,4716721000,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6464.3193359375,352.60213908327
83,City of San Diego,4715813400,,3,CUPD-CT-5-4,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6351.1513671875,352.531546183249
84,City of San Diego,4714821400,,2,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,4049.6220703125,316.517041580898
85,City of San Diego,4711120800,,3,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,9334.1806640625,476.326742181035
86,City of San Diego,4711700400,,3,CUPD-CU-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,5136.19140625,303.439209695727
87,City of San Diego,5413300100,Vacant,4,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6036.97265625,311.618472716574
88,City of San Diego,5413300200,,8,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,13620.6728515625,496.576448934949
89,City of San Diego,5472230100,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,9648.9736328125,490.123864191212
90,City of San Diego,5472230200,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10088.8701171875,499.871968133613
91,City of San Diego,5472230300,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,9810.5888671875,495.545190116257
92,City of San Diego,5472230400,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,9775.6826171875,493.997300250304
93,City of San Diego,5472230500,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10400.1767578125,499.933378182158
94,City of San Diego,5472300600,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,10740.44921875,476.030530995559
95,City of San Diego,5472300700,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,10923.388671875,478.342054306139
96,City of San Diego,5472300800,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,10802.349609375,478.04835751046
97,City of San Diego,5472302800,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,10334.8544921875,460.5273320396
98,City of San Diego,5472302900,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8893.927734375,452.361920938618
99,City of San Diego,5472303400,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,11017.6142578125,479.320444568336
100,City of San Diego,5473240900,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8932.6796875,406.032677407502
101,City of San Diego,5414522300,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10334.99609375,416.906122483271
102,City of San Diego,5415331100,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,8483.3017578125,449.537841937328
103,City of San Diego,5470501400,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,14465.9677734375,549.637970900002
104,City of San Diego,5470501500,,4,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,14260.6396484375,545.750905957215
105,City of San Diego,5470501600,,4,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,15099.41015625,552.241767902109
106,City of San Diego,5470900600,Vacant,53,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,58337.3447265625,1046.1425881714
107,City of San Diego,5472211100,Vacant,5,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,5913.71484375,314.462854807433
108,City of San Diego,5414421900,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10238.7822265625,416.794893407209
109,City of San Diego,5414422500,,7,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,24887.4658203125,661.701692720573
110,City of San Diego,5413101300,,6,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,11143.3759765625,420.701290857414
111,City of San Diego,5411202000,,3,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,21082.046875,641.251911042634
112,City of San Diego,4712621000,,5,CUPD-CT-2-4,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,4698.8203125,327.936037344403
113,City of San Diego,4712630400,,6,CUPD-CT-2-4,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,4988.4638671875,327.359639222275
114,City of San Diego,4712630500,,6,CUPD-CT-2-4,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,4866.4736328125,325.367650886524
115,City of San Diego,4713130100,,8,CUPD-CT-2-4,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,6040.740234375,344.5783984752
116,City of San Diego,4715920100,,4,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,8071.1982421875,362.13040992573
117,City of San Diego,4716812400,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6291.3134765625,348.692836973287
118,City of San Diego,4716821000,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6603.5400390625,360.957402783349
119,City of San Diego,4716821200,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6297.3115234375,356.702798878682
120,City of San Diego,4714911900,,4,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6571.40234375,355.315925837824
121,City of San Diego,4714921500,,4,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6588.9423828125,357.91289000406
122,City of San Diego,4711211300,,3,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,8162.806640625,391.942842487444
123,City of San Diego,4711211600,,4,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,11713.5029296875,500.828089021433
124,City of San Diego,4711800700,,8,CUPD-CU-2-4,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,8493.263671875,404.059795748193
125,City of San Diego,4711801500,,1,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,5726.1591796875,361.344466539674
126,City of San Diego,5476010200,,10,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,19815.4033203125,709.223059512733
127,City of San Diego,5476010400,,6,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,10787.7744140625,413.65828351731
128,City of San Diego,5476011300,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5523.546875,322.154916759226
129,City of San Diego,5476011800,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5484.890625,319.390147029736
130,City of San Diego,5476012200,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5490.2763671875,292.6416253735
131,City of San Diego,5476012300,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5209.6240234375,293.659817815903
132,City of San Diego,5476012500,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5401.884765625,297.851904747256
133,City of San Diego,5476012600,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5427.0556640625,298.297217074133
134,City of San Diego,5474600200,,9,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,13199.8486328125,464.073224589271
135,City of San Diego,5474600300,,4,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,6599.9521484375,364.187405877277
136,City of San Diego,5474600400,,4,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,6599.98828125,364.187773188621
137,City of San Diego,5474600500,,4,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,6599.908203125,364.185473489342
138,City of San Diego,5474600800,,18,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,19799.4326171875,563.951041207954
139,City of San Diego,5474900100,,4,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,6981.48828125,379.258112028808
140,City of San Diego,5474900200,,5,CN-1-4,Commercial,,44,https://www.sandiego.gov/development-services/zoning,6980.2080078125,379.20724956457
141,City of San Diego,5476003100,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5450.369140625,319.150551252735
142,City of San Diego,5476003300,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5189.0888671875,299.109377895302
143,City of San Diego,5476003400,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,4700.3857421875,283.386669232887
144,City of San Diego,5476003500,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5354.171875,298.487558734884
145,City of San Diego,5476003600,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,4818.970703125,287.167401617713
146,City of San Diego,5476003700,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5170.873046875,295.433442914957
147,City of San Diego,5476005300,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5388.720703125,316.727501082389
148,City of San Diego,5476005800,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5508.0244140625,320.306738382498
149,City of San Diego,5476005900,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5463.0703125,319.736232307899
150,City of San Diego,5476006000,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5636.064453125,323.020013328866
151,City of San Diego,5476006100,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5420.9892578125,319.271246732113
152,City of San Diego,5476006200,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6078.962890625,323.379766651337
153,City of San Diego,4713212100,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6633.14453125,356.282372825158
154,City of San Diego,4713212300,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6439.6728515625,353.056085398522
155,City of San Diego,4713213300,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6400.1025390625,352.977638148539
156,City of San Diego,4714120300,,1,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,4446.4365234375,275.421974557729
157,City of San Diego,4714120400,,2,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,6129.6162109375,349.741476342125
158,City of San Diego,4714120500,,2,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,6382.873046875,353.831305050412
159,City of San Diego,4715011500,,5,CUPD-CT-2-3,Transit Focus,,44,https://www.sandiego.gov/development-services/zoning,6390.283203125,348.451073612832
160,City of San Diego,4715023100,,17,CUPD-CT-2-3,,,44,https://www.sandiego.gov/development-services/zoning,19236.330078125,555.975173136651
161,City of San Diego,4711911300,,8,CUPD-CU-2-4,Commercial,,73,https://www.sandiego.gov/development-services/zoning,5591.001953125,325.525975222765
162,City of San Diego,4711920500,,4,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,6619.7373046875,358.645492000984
163,City of San Diego,5481301300,,14,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,15731.8798828125,528.523224689005
164,City of San Diego,5481410400,,8,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,24000.3310546875,771.514042931768
165,City of San Diego,5481411300,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,11407.486328125,476.117615871684
166,City of San Diego,5481411400,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8497.6259765625,437.79472547284
167,City of San Diego,5481411500,,8,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,15247.458984375,737.303512163852
168,City of San Diego,5481301500,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8768.9052734375,448.799759555283
169,City of San Diego,5481302000,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8556.7138671875,448.22162898097
170,City of San Diego,5481302100,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8991.0927734375,452.305534934511
171,City of San Diego,5482413700,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6663.9326171875,366.571110323672
172,City of San Diego,4713320100,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,8141.93359375,362.025211733495
173,City of San Diego,4713320300,,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,12992.455078125,459.861050783017
174,City of San Diego,4712812100,,4,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,5979.9228515625,342.049165042934
175,City of San Diego,4712820400,,3,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,6202.154296875,351.123518369021
176,City of San Diego,4715112000,,2,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6038.517578125,338.781268969832
177,City of San Diego,4716101600,,4,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,9471.37890625,469.083686691301
178,City of San Diego,5475121700,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8899.3046875,455.885959792516
179,City of San Diego,5475121800,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8893.03125,455.635113651231
180,City of San Diego,5475121900,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8886.9619140625,455.384298405051
181,City of San Diego,5475123600,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,9712.8740234375,470.334552344381
182,City of San Diego,5475123400,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,9236.91015625,554.425631053916
183,City of San Diego,5475122200,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8855.5322265625,454.129233849816
184,City of San Diego,5475122300,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8473.8740234375,438.857626278935
185,City of San Diego,5482411700,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,16583.7119140625,677.180842777676
186,City of San Diego,5482411800,,7,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,13299.37890625,524.158053442677
187,City of San Diego,5482412300,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5863.2666015625,373.04433353301
188,City of San Diego,5482412400,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5859.9638671875,372.998899307754
189,City of San Diego,5482412700,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5858.6279296875,372.981496108166
190,City of San Diego,5481500600,,17,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,20211.8828125,642.968829539358
191,City of San Diego,5481421300,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8374.517578125,488.739818389478
192,City of San Diego,5481421400,,4,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,8131.603515625,486.287195428224
193,City of San Diego,5481500500,,14,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,17169.7880859375,725.121499341301
194,City of San Diego,4712912400,,3,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,6440.375,354.536141190145
195,City of San Diego,4712921100,,1,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,6530.2197265625,353.77451746105
196,City of San Diego,4716220600,,2,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,6430.4404296875,356.046654563079
197,City of San Diego,4716220700,,2,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,6632.6962890625,359.095011413948
