OBJECTID,Jurisdiction,APN,Vacancy,Units,Zoning,ZoningSimplified,Min_Density,Max_Density,Links,Shape__Area,Shape__Length
1912,City of San Diego,4472322100,,2,RM-1-3,Medium Density Residential,,22,https://www.sandiego.gov/development-services/zoning,6131.447265625,345.212626998503
1913,City of San Diego,4472322400,,2,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4796.15234375,326.845952973665
1914,City of San Diego,4472322600,,3,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4797.0751953125,326.849542133634
1915,City of San Diego,4472322700,,3,CUPD-CU-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4794.654296875,326.803459466548
1916,City of San Diego,4472323000,,2,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4794.9921875,326.822489208078
1917,City of San Diego,4475823000,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,7521.3291015625,391.492502906483
1918,City of San Diego,4475823100,,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6949.6005859375,383.551500545758
1919,City of San Diego,4473901600,,6,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,11425.76953125,444.869492790087
1920,City of San Diego,4473901700,,4,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6228.4765625,371.099831568694
1921,City of San Diego,4473901800,,2,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6418.697265625,373.111115287213
1922,City of San Diego,4471622000,,2,CUPD-CT-2-3,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4590.5947265625,319.754292124326
1923,City of San Diego,4471622500,,2,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5266.4794921875,330.877933198976
1924,City of San Diego,4471622600,,1,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5267.0771484375,330.903853537871
1925,City of San Diego,4471622800,,1,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,5268.05859375,330.953102839468
1926,City of San Diego,4471710300,,1,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,4505.5830078125,280.179072954739
1927,City of San Diego,4471710600,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6259.9296875,350.308927822845
1928,City of San Diego,4471710700,,3,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,6260.93359375,350.351000605235
1929,City of San Diego,4470202500,,2,RM-1-2,Medium Density Residential,,17,https://www.sandiego.gov/development-services/zoning,13163.1474609375,494.77527210615
1930,City of San Diego,4403921800,,4,CUPD-CU-3-3,Commercial,,44,https://www.sandiego.gov/development-services/zoning,6754.0478515625,356.834413648833
1931,City of San Diego,5393941300,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,5052.728515625,300.620559179979
1932,City of San Diego,5391351000,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,5091.6328125,303.6627887589
1933,City of San Diego,5391351100,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,5189.9599609375,305.536043416976
1934,City of San Diego,5456820800,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,6067.8525390625,383.552002891035
1935,City of San Diego,5456820200,Vacant,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,3515.794921875,239.923862763339
1936,City of San Diego,5456321300,Vacant,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,3709.7548828125,263.974602010792
1937,City of San Diego,4531511000,,14,CC-3-9,Commercial,,109,https://www.sandiego.gov/development-services/zoning,5843.4423828125,339.473238803726
1938,City of San Diego,4531511100,,14,CC-3-9,Commercial,,109,https://www.sandiego.gov/development-services/zoning,6305.33203125,346.497579784094
1939,City of San Diego,5393031400,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,6337.001953125,341.642696710042
1940,City of San Diego,4415900400,,1400,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,3010399.59570313,11120.9777595253
1941,City of San Diego,4413402100,,8,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,5490.0185546875,360.393739178531
1942,City of San Diego,4437211800,Vacant,4,OTRM-2-2,,,44,https://www.sandiego.gov/development-services/zoning,3966.0625,371.067701272987
1943,San Diego County,6462403000,Vacant,,S88,,,40,,1794850.73730469,5364.17440345376
1944,City of San Diego,3570920700,Vacant,1,RS-1-4,Low Density Residential,,4,https://www.sandiego.gov/development-services/zoning,10196.1875,407.108589694727
1945,City of San Diego,4400702300,Vacant,6,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,36904.154296875,1068.78497497844
1946,City of San Diego,4332700700,,48,RM-4-10,High Density Residential,,109,https://www.sandiego.gov/development-services/zoning,21398.8095703125,698.964661846739
1947,City of San Diego,4415302200,,54,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,36023.5458984375,868.704511642283
1948,City of San Diego,4415307000,Vacant,4,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,3196.5537109375,244.262719868031
1949,City of San Diego,4413402300,,34,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,22642.5830078125,659.191883481786
1950,City of San Diego,4714622700,,9,CUPD-CU-2-3,Commercial,,44,https://www.sandiego.gov/development-services/zoning,15486.376953125,497.78352076625
1951,Solana Beach,2982703500,Vacant,1,MRd,,,5,https://www.codepublishing.com/CA/SolanaBeach/html/SolanaBeach17/SolanaBeach17.html,22065.86328125,608.3528776941
1952,Solana Beach,2982704100,Vacant,6,MRd,Commercial,,5,https://www.codepublishing.com/CA/SolanaBeach/html/SolanaBeach17/SolanaBeach17.html,53279.8544921875,1061.75837337592
1953,City of San Diego,3521301900,Vacant,1,RS-1-5,Low Density Residential,,5,https://www.sandiego.gov/development-services/zoning,9117.732421875,385.830588213192
1954,City of San Diego,4411810700,,9,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,9738.7255859375,399.500841288334
1955,City of San Diego,4446902600,,8,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,7231.970703125,369.050037358411
1956,City of San Diego,4456000200,,8,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,5316.2080078125,327.168393680551
1957,City of San Diego,4446901300,,14,CC-3-9,Commercial,,109,https://www.sandiego.gov/development-services/zoning,6508.716796875,360.195276600371
1958,City of San Diego,4530810200,,4,CN-1-5,Commercial,,73,https://www.sandiego.gov/development-services/zoning,3079.98828125,245.99950799346
1959,City of San Diego,4530810400,,4,CN-1-5,Commercial,,73,https://www.sandiego.gov/development-services/zoning,2582.8837890625,343.512330915075
1960,City of San Diego,4530811400,,4,CN-1-5,Commercial,,73,https://www.sandiego.gov/development-services/zoning,3363.9833984375,243.869387153738
1961,City of San Diego,4716104200,,3,CC-5-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,5596.4189453125,311.57642647372
1962,City of San Diego,4724001800,,8,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,14626.0224609375,492.383403079955
1963,City of San Diego,4741300800,,6,CC-4-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,10743.697265625,419.152416599904
1964,City of San Diego,4732802100,,4,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6081.98046875,316.09691950065
1965,City of San Diego,4732804400,,4,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6271.8212890625,353.009152557799
1966,City of San Diego,4732804500,,8,CC-5-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,13622.80078125,469.101133315586
1967,City of San Diego,4732801000,Vacant,3,CC-4-3,Commercial,,29,https://www.sandiego.gov/development-services/zoning,5121.4638671875,306.678108492555
1968,City of San Diego,5482422800,Vacant,9,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,14833.5712890625,489.204395487533
1969,City of San Diego,5641000800,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,11798.876953125,563.181574927704
1970,City of San Diego,5641000900,Vacant,3,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,12993.138671875,573.844158318682
1971,City of San Diego,5641000400,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,9549.9111328125,458.157101023103
1972,City of San Diego,5641000500,Vacant,3,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,14044.2275390625,549.139596998692
1973,City of San Diego,5641000600,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,11930.333984375,563.152309568566
1974,City of San Diego,5641000700,Vacant,3,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,12230.1279296875,568.234917991503
1975,City of San Diego,4230512000,,5,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,9315.0478515625,398.428782104725
1976,City of San Diego,4231912000,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,9345.2490234375,399.172976508709
1977,City of San Diego,4230441000,,9,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,15586.34375,499.782739765512
1978,City of San Diego,4230440900,,5,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,8923.314453125,388.91174328601
1979,City of San Diego,4230440800,,4,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6450.384765625,347.896131778868
1980,City of San Diego,4230440700,,4,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6325.779296875,345.973477484445
1981,City of San Diego,4230430100,,6,CV-1-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,10912.2451171875,426.632037124273
1982,City of San Diego,4230430200,,4,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6603.9912109375,359.729139359124
1983,City of San Diego,4230411400,,11,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,18658.7705078125,548.889608496763
1984,City of San Diego,4230840800,,5,RM-2-5,Medium Density Residential,,29,https://www.sandiego.gov/development-services/zoning,9343.197265625,399.240762313244
1985,City of San Diego,4373500600,,321,RMX-1,High Density Residential,,89,https://www.sandiego.gov/development-services/zoning,174835.45703125,1769.35963205111
1986,City of San Diego,4372402800,,1169,CC-3-9,Commercial,,109,https://www.sandiego.gov/development-services/zoning,1677873.81445313,7860.00267167486
1987,City of San Diego,4413402200,,40,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,26386.4765625,837.173498542617
1988,City of San Diego,4515501300,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,4526.19921875,286.142684280668
1989,City of San Diego,4457112400,Vacant,4,RM-3-9,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,2505.0615234375,200.204692713448
1990,City of San Diego,4457112700,Vacant,4,RM-3-9,High Density Residential,,73,https://www.sandiego.gov/development-services/zoning,2495.212890625,199.809217033545
1991,City of San Diego,4305103100,,10,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,49436.8662109375,986.343300521801
1992,City of San Diego,4301231600,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,10091.5849609375,416.756442018605
1993,City of San Diego,4515911400,,12,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,12411.9951171875,669.002924735607
1994,City of San Diego,4515340500,Vacant,2,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,3731.443359375,268.756093977322
1995,City of San Diego,4515340600,,4,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,6029.904296875,317.230173365244
1996,City of San Diego,4516310100,,3,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,5014.5068359375,300.173758009935
1997,City of San Diego,5307220100,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,9193.2568359375,384.353385743099
1998,City of San Diego,3517550400,Vacant,1,RS-1-2,Low Density Residential,,2,https://www.sandiego.gov/development-services/zoning,21056.6826171875,591.048588724787
1999,City of San Diego,3517550500,Vacant,1,RS-1-2,Low Density Residential,,2,https://www.sandiego.gov/development-services/zoning,19244.373046875,624.550639765597
2000,City of San Diego,6662003200,,17,CC-3-6,Commercial,,44,https://www.sandiego.gov/development-services/zoning,18981.1884765625,553.334583007558
2001,City of San Diego,6663802800,,14,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,22159.7939453125,827.865910672275
2002,City of San Diego,6660801300,,14,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,24214.8681640625,614.348369417935
2003,City of San Diego,4380112500,,21,EMX-2,Mixed Use,,145,https://www.sandiego.gov/development-services/zoning,14242.1708984375,514.602586396828
2004,City of San Diego,5452310800,Vacant,1,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,3557.0087890625,325.576191485665
2005,City of San Diego,5451302300,Vacant,3,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,10748.671875,432.389683279298
2006,City of San Diego,3504820600,,4,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,3675.314453125,256.480123639029
2007,City of San Diego,5331961300,,2,CC-3-4,Commercial,,29,https://www.sandiego.gov/development-services/zoning,2506.669921875,250.52886561783
2008,City of San Diego,5810940300,Vacant,4,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,22048.529296875,596.972739568551
2009,City of San Diego,5302930200,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,5316.982421875,304.279081542878
2010,City of San Diego,3136801800,,45,RM-1-2,Medium Density Residential,,17,https://www.sandiego.gov/development-services/zoning,19896.38671875,709.059239845674
2011,National City,5550820600,,23,7,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,7097.7939453125,354.965977487849
2012,National City,5550850300,,12,7,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,3697.4599609375,267.930005346327
