objectid,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,routeshapename,route_color_rgb,route_text_color_rgb,shape_Length
769,S2_917_9_21,,,,,MTS,,,,,,S2_917_9_21_,,,27994.2856024887
770,S2_917_9_22,,,,,MTS,,,,,,S2_917_9_22_,,,60686.4702590949
771,S2_921_2_65,,,,,MTS,,,,,,S2_921_2_65_,,,47555.7973295953
772,S2_921_2_79,,,,,MTS,,,,,,S2_921_2_79_,,,60138.4529301021
773,S2_921_3_76,,,,,MTS,,,,,,S2_921_3_76_,,,47612.8385636684
774,S2_921_3_78,,,,,MTS,,,,,,S2_921_3_78_,,,58560.0661452548
775,S2_923_2_72,,,,,MTS,,,,,,S2_923_2_72_,,,46890.7664797999
776,S2_923_3_73,,,,,MTS,,,,,,S2_923_3_73_,,,48151.0051549012
777,S2_928_0_58,,,,,MTS,,,,,,S2_928_0_58_,,,55244.7099715748
778,S2_928_0_59,,,,,MTS,,,,,,S2_928_0_59_,,,51032.8738062891
779,S2_928_0_60,,,,,MTS,,,,,,S2_928_0_60_,,,35759.0348399757
780,S2_928_1_57,,,,,MTS,,,,,,S2_928_1_57_,,,49652.6763167448
781,S2_928_1_61,,,,,MTS,,,,,,S2_928_1_61_,,,35527.5619502303
782,S2_929_0_154,,,,,MTS,,,,,,S2_929_0_154_,,,82763.9584308632
783,S2_929_1_152,,,,,MTS,,,,,,S2_929_1_152_,,,79574.6417923432
784,S2_932_0_74,,,,,MTS,,,,,,S2_932_0_74_,,,55182.3912855883
785,S2_932_0_75,,,,,MTS,,,,,,S2_932_0_75_,,,37010.3913463894
786,S2_932_1_77,,,,,MTS,,,,,,S2_932_1_77_,,,56365.2418504423
787,S2_932_1_78,,,,,MTS,,,,,,S2_932_1_78_,,,37108.93956549
788,S2_933_9_65,,,,,MTS,,,,,,S2_933_9_65_,,,80414.7833599712
789,S2_934_8_62,,,,,MTS,,,,,,S2_934_8_62_,,,80937.1678165411
790,S2_934_8_63,,,,,MTS,,,,,,S2_934_8_63_,,,80937.1678165411
791,S2_934_8_64,,,,,MTS,,,,,,S2_934_8_64_,,,41639.7672851972
792,S2_934_8_65,,,,,MTS,,,,,,S2_934_8_65_,,,48433.6157670266
793,S2_936_0_61,,,,,MTS,,,,,,S2_936_0_61_,,,42407.4359634842
794,S2_936_1_62,,,,,MTS,,,,,,S2_936_1_62_,,,39877.7551860641
795,S2_944_2_9,,,,,MTS,,,,,,S2_944_2_9_,,,27427.7072766299
796,S2_944_3_8,,,,,MTS,,,,,,S2_944_3_8_,,,29154.64879668
797,S2_945_0_13,,,,,MTS,,,,,,S2_945_0_13_,,,56149.6390294337
798,S2_945_1_14,,,,,MTS,,,,,,S2_945_1_14_,,,55114.6794391917
799,S2_946_10_18,,,,,MTS,,,,,,S2_946_10_18_,,,73371.1589817269
800,S2_946_11_17,,,,,MTS,,,,,,S2_946_11_17_,,,73371.1589817269
801,S2_955_0_93,,,,,MTS,,,,,,S2_955_0_93_,,,52635.9892496988
802,S2_955_0_95,,,,,MTS,,,,,,S2_955_0_95_,,,29378.4249169608
803,S2_955_1_87,,,,,MTS,,,,,,S2_955_1_87_,,,22800.4529877706
804,S2_955_1_94,,,,,MTS,,,,,,S2_955_1_94_,,,52009.7862466958
805,S2_955_1_96,,,,,MTS,,,,,,S2_955_1_96_,,,40828.8882848481
806,S2_961_0_54,,,,,MTS,,,,,,S2_961_0_54_,,,17276.4127794633
807,S2_961_0_55,,,,,MTS,,,,,,S2_961_0_55_,,,49596.9111713117
808,S2_961_0_58,,,,,MTS,,,,,,S2_961_0_58_,,,32320.4983918484
809,S2_961_1_56,,,,,MTS,,,,,,S2_961_1_56_,,,50103.7536828083
810,S2_961_1_57,,,,,MTS,,,,,,S2_961_1_57_,,,19114.0843933158
811,S2_962_2_44,,,,,MTS,,,,,,S2_962_2_44_,,,39842.1621235295
812,S2_962_3_43,,,,,MTS,,,,,,S2_962_3_43_,,,39666.1187618128
813,S2_963_2_38,,,,,MTS,,,,,,S2_963_2_38_,,,22726.4167056892
814,S2_963_2_40,,,,,MTS,,,,,,S2_963_2_40_,,,3705.01546174259
815,S2_963_3_39,,,,,MTS,,,,,,S2_963_3_39_,,,20598.9262580933
816,S2_964_2_32,,,,,MTS,,,,,,S2_964_2_32_,,,39435.3680666433
817,S2_964_2_33,,,,,MTS,,,,,,S2_964_2_33_,,,21936.7006350553
818,S2_964_3_40,,,,,MTS,,,,,,S2_964_3_40_,,,18929.4580121504
819,S2_964_3_41,,,,,MTS,,,,,,S2_964_3_41_,,,36295.0243052872
820,S2_965_9_21,,,,,MTS,,,,,,S2_965_9_21_,,,31587.2868872447
821,S2_967_9_53,,,,,MTS,,,,,,S2_967_9_53_,,,29561.2715705044
822,S2_967_9_54,,,,,MTS,,,,,,S2_967_9_54_,,,46785.4782045109
823,S2_967_9_55,,,,,MTS,,,,,,S2_967_9_55_,,,29688.0106845492
824,S2_968_2_47,,,,,MTS,,,,,,S2_968_2_47_,,,28703.6963017384
825,S2_968_3_43,,,,,MTS,,,,,,S2_968_3_43_,,,11286.883727081
826,S2_968_3_46,,,,,MTS,,,,,,S2_968_3_46_,,,28616.0806491988
827,S2_985_9_13,,,,,MTS,,,,,,S2_985_9_13_,,,29054.1496786478
828,S2_985_9_14,,,,,MTS,,,,,,S2_985_9_14_,,,19246.710609625
829,S2_985_9_15,,,,,MTS,,,,,,S2_985_9_15_,,,19315.7544264042
830,S2_992_9_57,,,,,MTS,,,,,,S2_992_9_57_,,,41033.8852280023
831,S2_992_9_58,,,,,MTS,,,,,,S2_992_9_58_,,,19269.0654855436
832,S2_9_0_138,9,9,Old Town - Jewell & Garnet,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=9,000099,FFFFFF,Bus,S2_9_0_138_9,"(0, 0, 153)","(255, 255, 255)",17715.3372436833
833,S2_9_0_139,,,,,MTS,,,,,,S2_9_0_139_,,,34144.1638185368
834,S2_9_0_140,,,,,MTS,,,,,,S2_9_0_140_,,,28397.6808861565
835,S2_9_1_129,9,9,Old Town - Jewell & Garnet,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=9,000099,FFFFFF,Bus,S2_9_1_129_9,"(0, 0, 153)","(255, 255, 255)",16860.5075199733
836,S2_9_1_141,,,,,MTS,,,,,,S2_9_1_141_,,,32593.2189990513
837,S2_9_1_142,,,,,MTS,,,,,,S2_9_1_142_,,,26846.7360666711
838,S2_AIR_9_245,,,,,MTS,,,,,,S2_AIR_9_245_,,,49513.6344982472
